product_id,product_name,brand,category,sub_category,list_price
PROD000001,iPhone 15 Pro,Apple,Electronics,Mobile,134900
PROD000002,Galaxy S24 Ultra,Samsung,Electronics,Mobile,129999
PROD000003,Pixel 8 Pro,Google,Electronics,Mobile,106999
PROD000004,OnePlus 12,OnePlus,Electronics,Mobile,64999
PROD000005,Redmi Note 13 Pro+,Xiaomi,Electronics,Mobile,29999
PROD000006,Moto G84 5G,Motorola,Electronics,Mobile,17999
PROD000007,Realme 12 Pro+,Realme,Electronics,Mobile,27999
PROD000008,iQOO Neo 9 Pro,iQOO,Electronics,Mobile,36999
PROD000009,Vivo V30 Pro,Vivo,Electronics,Mobile,39999
PROD000010,Nothing Phone (2),Nothing,Electronics,Mobile,44999
PROD000011,MacBook Air M2,Apple,Electronics,Laptop,114900
PROD000012,XPS 15 9530,Dell,Electronics,Laptop,189990
PROD000013,ThinkPad X1 Carbon Gen 11,Lenovo,Electronics,Laptop,154990
PROD000014,HP Spectre x360 14,HP,Electronics,Laptop,169990
PROD000015,Asus ROG Zephyrus G14,Asus,Electronics,Laptop,139990
PROD000016,Acer Swift Go 14,Acer,Electronics,Laptop,64990
PROD000017,MSI Raider GE78 HX,MSI,Electronics,Laptop,249990
PROD000018,Surface Laptop 5,Microsoft,Electronics,Laptop,129999
PROD000019,Gigabyte Aorus 15,Gigabyte,Electronics,Laptop,119990
PROD000020,Razer Blade 15,Razer,Electronics,Laptop,229990
PROD000021,EOS R6 Mark II,Canon,Electronics,Camera,239990
PROD000022,Alpha A7 IV,Sony,Electronics,Camera,229990
PROD000023,Z8 Mirrorless,Nikon,Electronics,Camera,349990
PROD000024,OM System OM-5,Olympus,Electronics,Camera,99990
PROD000025,Fujifilm X-T5,Fujifilm,Electronics,Camera,159990
PROD000026,GoPro Hero 12 Black,GoPro,Electronics,Camera,44990
PROD000027,Lumix GH6,Panasonic,Electronics,Camera,149990
PROD000028,Insta360 X3,Insta360,Electronics,Camera,44999
PROD000029,DJI Osmo Pocket 3,DJI,Electronics,Camera,54999
PROD000030,EOS 1500D DSLR,Canon,Electronics,Camera,34990
PROD000031,WH-1000XM5,Sony,Electronics,Headphones,29990
PROD000032,QuietComfort 45,Bose,Electronics,Headphones,24990
PROD000033,AirPods Pro 2nd Gen,Apple,Electronics,Headphones,24900
PROD000034,Galaxy Buds2 Pro,Samsung,Electronics,Headphones,12999
