campaign_id,campaign_name,campaign_type,channel_id,start_date,end_date,budget,objective
CAMP0001,Transition Dynamic Info-Mediaries,Awareness,CHN001,2025-08-22,2026-04-01,13455.05,Retention
CAMP0002,Visualize Back-End Schemas,Awareness,CHN001,2025-06-30,2026-04-01,35669.61,Retention
CAMP0003,Cultivate Interactive Infrastructures,Awareness,CHN008,2025-07-13,2026-04-01,21732.7,Retention
CAMP0004,Deliver Web-Enabled Relationships,Promotional,CHN007,2025-06-11,2026-04-01,14880.61,Acquisition
CAMP0005,Target Granular Architectures,Discount,CHN009,2025-05-19,2026-04-01,34363.21,Brand Awareness
CAMP0006,Enable 24/7 Applications,Promotional,CHN001,2025-10-30,2026-04-01,47026.35,Engagement
CAMP0007,Expedite Compelling Applications,Promotional,CHN007,2025-06-27,2026-04-01,40239.65,Brand Awareness
CAMP0008,Repurpose User-Centric Users,Loyalty,CHN008,2025-07-02,2026-04-01,20782.85,Brand Awareness
CAMP0009,Maximize Virtual Schemas,Awareness,CHN002,2026-02-24,2026-04-01,4563.74,Brand Awareness
CAMP0010,Facilitate Open-Source Functionalities,Discount,CHN009,2025-06-22,2026-04-01,33438.74,Acquisition
CAMP0011,Strategize Back-End Architectures,Loyalty,CHN006,2025-10-02,2026-04-01,30516.69,Acquisition
CAMP0012,Architect Real-Time Mindshare,Loyalty,CHN009,2025-05-01,2026-04-01,43799.33,Engagement
CAMP0013,Innovate Synergistic Partnerships,Promotional,CHN002,2025-12-09,2026-04-01,40593.3,Brand Awareness
CAMP0014,Cultivate Back-End E-Markets,Loyalty,CHN002,2025-12-16,2026-04-01,25541.16,Retention
CAMP0015,Transform World-Class Functionalities,Awareness,CHN010,2026-01-12,2026-04-01,26841.25,Engagement
CAMP0016,Evolve Proactive E-Tailers,Loyalty,CHN010,2025-11-02,2026-04-01,40200.01,Retention
CAMP0017,Facilitate B2B Metrics,Promotional,CHN004,2025-11-17,2026-04-01,24095.89,Engagement
CAMP0018,Synthesize Robust Convergence,Awareness,CHN007,2025-07-08,2026-04-01,1784.55,Brand Awareness
CAMP0019,Envisioneer World-Class Mindshare,Awareness,CHN010,2025-06-13,2026-04-01,18643.16,Engagement
CAMP0020,Empower End-To-End Architectures,Awareness,CHN008,2025-04-05,2026-04-01,25325.24,Retention
CAMP0021,Visualize Web-Enabled Web Services,Promotional,CHN004,2025-11-25,2026-04-01,47807.12,Acquisition
CAMP0022,Expedite Dynamic Initiatives,Awareness,CHN001,2026-02-26,2026-04-01,41163.1,Brand Awareness
CAMP0023,Monetize Cross-Platform Content,Promotional,CHN003,2025-08-28,2026-04-01,11351.14,Acquisition
CAMP0024,Revolutionize Clicks-And-Mortar Methodologies,Loyalty,CHN003,2026-01-16,2026-04-01,41984.24,Engagement
CAMP0025,Morph Rich E-Business,Promotional,CHN009,2025-08-03,2026-04-01,41678.53,Retention
CAMP0026,Repurpose Next-Generation Schemas,Promotional,CHN008,2025-08-16,2026-04-01,23350.15,Brand Awareness
CAMP0027,Synthesize Out-Of-The-Box Technologies,Loyalty,CHN010,2025-08-13,2026-04-01,11794.88,Retention
CAMP0028,Monetize Innovative Communities,Loyalty,CHN005,2025-07-27,2026-04-01,49888.81,Retention
CAMP0029,Transform Turn-Key Channels,Loyalty,CHN001,2026-02-20,2026-04-01,33944.16,Engagement
CAMP0030,Reinvent Leading-Edge Supply-Chains,Awareness,CHN008,2026-03-24,2026-04-01,5065.23,Engagement
CAMP0031,Harness Ubiquitous Bandwidth,Loyalty,CHN002,2025-06-15,2026-04-01,15823.99,Retention
CAMP0032,Monetize User-Centric Users,Awareness,CHN003,2025-08-26,2026-04-01,22626.9,Brand Awareness
CAMP0033,Grow Intuitive Functionalities,Promotional,CHN008,2025-08-05,2026-04-01,12715.9,Engagement
CAMP0034,Monetize Intuitive Action-Items,Discount,CHN005,2026-03-20,2026-04-01,41288.09,Brand Awareness
CAMP0035,Incentivize Cutting-Edge Experiences,Loyalty,CHN010,2025-10-10,2026-04-01,23595.37,Acquisition
CAMP0036,Brand Viral Niches,Discount,CHN009,2025-11-20,2026-04-01,24606.4,Brand Awareness
CAMP0037,Transform Compelling Niches,Promotional,CHN010,2025-10-27,2026-04-01,49410.61,Acquisition
CAMP0038,Streamline Collaborative Functionalities,Promotional,CHN010,2026-03-02,2026-04-01,19872.98,Retention
CAMP0039,Brand Cutting-Edge Deliverables,Promotional,CHN001,2025-04-08,2026-04-01,3355.39,Retention
CAMP0040,Implement Strategic Markets,Promotional,CHN010,2025-11-18,2026-04-01,14435.67,Brand Awareness
CAMP0041,Cultivate Back-End Functionalities,Awareness,CHN008,2025-09-22,2026-04-01,37231.98,Brand Awareness
CAMP0042,Strategize Front-End Bandwidth,Promotional,CHN002,2026-02-25,2026-04-01,49074.66,Retention
CAMP0043,Morph Open-Source Functionalities,Discount,CHN004,2026-02-05,2026-04-01,25546.18,Brand Awareness
CAMP0044,Extend User-Centric Solutions,Promotional,CHN002,2026-01-05,2026-04-01,5430.55,Acquisition
CAMP0045,Grow Cross-Media Markets,Promotional,CHN009,2026-03-16,2026-04-01,13275.44,Retention
CAMP0046,Scale Distributed Info-Mediaries,Promotional,CHN009,2026-03-19,2026-04-01,17434.02,Engagement
CAMP0047,Monetize Vertical Bandwidth,Awareness,CHN002,2025-05-25,2026-04-01,21298.58,Retention
CAMP0048,Re-Contextualize Strategic Users,Discount,CHN006,2026-03-10,2026-04-01,44389.16,Brand Awareness
CAMP0049,Orchestrate Cutting-Edge Technologies,Discount,CHN010,2025-12-27,2026-04-01,36249.11,Engagement
CAMP0050,Empower Extensible Models,Discount,CHN010,2025-11-18,2026-04-01,11003.78,Brand Awareness
CAMP0051,Repurpose Ubiquitous Web Services,Promotional,CHN005,2025-11-18,2026-04-01,24345.56,Acquisition
CAMP0052,Engage One-To-One Platforms,Promotional,CHN001,2026-02-05,2026-04-01,49122.29,Acquisition
CAMP0053,Strategize Interactive Markets,Loyalty,CHN008,2025-04-17,2026-04-01,32712.27,Brand Awareness
CAMP0054,Cultivate Impactful Communities,Awareness,CHN004,2025-11-18,2026-04-01,3201.93,Acquisition
CAMP0055,Innovate Cross-Platform Systems,Promotional,CHN009,2025-05-12,2026-04-01,4961.74,Retention
CAMP0056,Implement Bricks-And-Clicks Bandwidth,Loyalty,CHN005,2025-10-29,2026-04-01,37673.64,Engagement
CAMP0057,Utilize Innovative E-Tailers,Loyalty,CHN010,2025-12-23,2026-04-01,8648.81,Retention
CAMP0058,Maximize Wireless Vortals,Promotional,CHN009,2025-12-09,2026-04-01,8288.44,Retention
CAMP0059,Revolutionize Magnetic Communities,Loyalty,CHN006,2025-08-18,2026-04-01,9169.24,Acquisition
CAMP0060,Incubate Clicks-And-Mortar Functionalities,Promotional,CHN009,2025-09-22,2026-04-01,2003.66,Acquisition
